Product Price,Model Number,Processor Type,Processor Speed,RAM Size,Graphics Card,Screen Size,Operating System,Display Type,Storage Value,Storage Type,kmeans
3699.0,Microsoft Surface Pro 9,Intel Core i5-1245U (12th Gen) Evo Platform,1.2,8,Intel Iris Xe Graphics,13.0,Windows 11 Home,Full HD,256,SSD M.2,1
3699.0,Lenovo ThinkPad E16 Gen 2 Intel,Intel Core Ultra 5-125U,1.7,8,Intel Graphics,16.0,Dos,WUXGA,512,SSD M.2,1
3999.0,Acer Nitro 5 AN517-41-R73F,AMD Ryzen 7-5800H,1.7,16,NVIDIA GeForce RTX 3080 8GB,17.3,Windows 11 Home,2k,512,SSD M.2,1
5299.0,Asus ROG Strix G614JU-N3111,Intel Core i7-13650HX (13th Gen),1.9,16,NVIDIA GeForce RTX 4050 6GB,16.0,Dos,WUXGA,1024,SSD M.2,4
3899.0,Yoga Slim 6 14IRH8,Intel Core i7-13700H (13th Gen),1.8,16,Intel Iris Xe Graphics,14.0,Windows 11 Home,OLED,1024,SSD M.2,4
3899.0,HP EliteBook 645 14 inch G9 Notebook PC,AMD Ryzen 5-5625U,2.3,8,AMD Radeon Graphics,14.0,Windows 11 Professional,Full HD,256,SSD M.2,1
2199.0,Asus Vivobook X1500EP-EJ720,Intel Core i7-1165G7 (11th Gen),2.8,8,NVIDIA GeForce MX330 2 GB,15.6,Dos,Full HD,512,SSD M.2 + 32GB Intel Optane Memory,1
2199.0,Dell Latitude 3550,Intel Core i7-1355U (13th Gen),1.7,8,NVIDIA GeForce MX570A 2 GB,15.6,Dos,Full HD,512,SSD M.2,1
1549.0,Asus Vivobook X1605PA-MB037,Intel Core i5-11300H (11th Gen),3.1,8,Intel Iris Xe Graphics,16.0,Dos,WUXGA,512,SSD M.2,0
1549.0,ThinkPad E14 Gen 5 (Intel),Intel Core i7-1355U (13th Gen),1.7,8,NVIDIA GeForce MX550 2 GB,14.0,Dos,WUXGA,512,SSD,1
1399.0,HP 255 G9,AMD Ryzen 5-5625U,2.3,8,AMD Radeon Graphics,15.6,Dos,Full HD,256,SSD M.2,1
15799.0,Apple MacBook Pro 16-Inch M3 Max,Apple M3 Max chip,3.4,36,30-core GPU,16.2,macOS Sonoma,Full HD,1024,SSD,2
15799.0,ThinkBook 14s Yoga G3 IRU,Intel Core i7-1355U (13th Gen),3.7,16,Intel Iris Xe Graphics,14.0,Windows 11 Professional,Full HD,512,SSD M.2,0
15799.0,ThinkBook 15 G4 IAP,Intel Core i7-1255U (12th Gen),1.7,16,NVIDIA GeForce MX550 2 GB,15.6,Windows 11 Professional,Full HD,512,SSD M.2,1
4899.0,Asus TUF Gaming FX707VV-HX183,Intel Core i7-13620H (13th Gen),2.4,16,NVIDIA GeForce RTX 4060 8GB,17.3,Dos,Full HD,1024,SSD M.2,4
2999.0,Microsoft Surface Laptop 4 (13-Inch),AMD Ryzen 5-4680U,2.2,8,Radeon Graphics Microsoft Surface Edition (6 cores),13.5,Windows 10 Home,Full HD,256,SSD,1
1699.0,Asus Vivobook X1502ZA-EJ1181,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1699.0,Dell Latitude 3540,Intel Core i5-1335U (13th Gen),0.9,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
2049.0,Acer Aspire 3 A315-58G-55XH,Intel Core i5-1135G7 (11th Gen),2.4,8,NVIDIA GeForce MX350 2 GB,15.6,Dos,Full HD,1024,HDD,3
2699.0,Acer Nitro V 15 ANV15-41-R80C,AMD Ryzen 5-7535HS,3.3,8,NVIDIA GeForce RTX 3050 6GB,15.6,Dos,Full HD,512,SSD M.2,0
2299.0,Asus Vivobook X1502ZA-EJ1359,Intel Core i7-12700H (12th Gen),2.3,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1849.0,HP 15-fd0020nx,Intel Core i5-1335U (13th Gen),0.9,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
6499.0,Lenovo Legion 5 16IRX9,Intel Core i9-14900HX (14th Generation),2.2,16,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 140W",16.0,Dos,WQXGA,1024,SSD M.2 2280 PCIe 4.0x4 NVMe,4
1849.0,Asus Vivobook X1605ZA-MB305,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,16.0,Dos,Full HD,512,SSD M.2,1
4199.0,Asus TUF Gaming FX507ZU4-LP040,Intel Core i7-12700H (12th Gen),2.3,16,NVIDIA GeForce RTX 4050 6GB,15.6,Dos,Full HD,512,SSD M.2,1
4199.0,ThinkPad E14 Gen 4,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,14.0,Dos,Full HD,256,SSD M.2,1
4199.0,Dell Latitude 3550,Intel Core i7-1355U (13th Gen),1.7,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1349.0,Dell Vostro 15 3520,Intel Core i3-1215U (12th Gen),0.9,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
5299.0,ThinkPad T14 Gen 4 (Intel),Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,14.0,Windows 11 Professional,WUXGA,512,SSD M.2,1
2299.0,Asus Vivobook X1504VA-NJ108,Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
8099.0,Apple MacBook Pro M3,Apple M3 chip,3.4,8,10-core GPU,14.2,macOS Sonoma,Full HD,1024,SSD,0
6999.0,Legion Pro 5 16IRX8,Intel Core i9-13900HX (13th Gen),2.2,32,NVIDIA GeForce RTX 4060 8GB,16.0,Dos,WQXGA,1024,SSD M.2,4
1699.0,Asus Vivobook X1504VA-NJ089,Intel Core i5-1335U (13th Gen),1.3,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1699.0,apple MacBook Air M2 (2024),Apple M2 chip,3.2,16,8-core GPU,13.6,macOS Monterey,Full HD,256,SSD,0
1699.0,HP ProBook 450 15.6 inch G10 Notebook PC,Intel Core i5-1335U (13th Gen),0.9,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
2349.0,Asus EXPERTBOOK B1500CBA-EJ0094,Intel Core i7-1255U (12th Gen),1.7,16,Intel Iris Xe Graphics,15.6,Dos,Full HD,1024,SSD M.2,4
2549.0,HP 250 G10,Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
2099.0,IdeaPad 3 15IAU7,Intel Core i7-1255U (12th Gen),3.5,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,256,SSD M.2,0
2199.0,Asus ExpertBook B1402CBA-NK2746,Intel Core i5-1235U (12th Gen),1.3,8,Intel UHD Graphics,14.0,Dos,Full HD,512,SSD M.2,1
2199.0,ThinkPad E15 Gen 4 (AMD),AMD Ryzen 7-5825U,2.0,8,AMD Radeon Graphics,15.6,Windows 11 Professional,Full HD,512,SSD M.2,1
3999.0,apple MacBook Air M2,Apple M2 chip,3.2,8,8-core GPU,13.6,macOS Monterey,Full HD,256,SSD,0
1599.0,HP 255 G9,AMD Ryzen 5-5625U,2.3,16,AMD Radeon Graphics,15.6,Dos,Full HD,512,SSD M.2,1
6799.0,Apple MacBook Air M3,Apple M3 chip,3.4,16,10-core GPU,13.6,macOS Sonoma,Full HD,512,SSD,0
2399.0,Vostro 3530,Intel Core i7-1355U (13th Gen),1.7,8,Intel UHD Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1649.0,Asus Vivobook X1500EP-EJ648,Intel Core i5-1135G7 (11th Gen),2.4,8,NVIDIA GeForce MX330 2 GB,15.6,Dos,Full HD,512,SSD M.2 + 32GB Intel Optane Memory,1
7399.0,Dell G15 5530 Gaming,Intel Core i9-13900HX (13th Gen),1.6,32,NVIDIA GeForce RTX 4060 8GB,15.6,Dos,Full HD,2048,SSD M.2 + SSD M.2,4
2249.0,IdeaPad 3 15IAU7,Intel Core i7-1255U (12th Gen),1.2,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
